Use case label	Case Study	Title	Status	Publication	Keywords	Main target	Methods	Data generation	Data analysis	Specific benefits of using Galaxy	Section in the manuscript	Topics	Location on Figure 2 (Why? in the column cell comment)
A	Collected use case	A user friendly and high-throughput way to identify and analyse SNPs in Plasmodium falciparum (malaria parasites)  	On-going	No	Amoeba, Unicellular eukaryotes, Malaria, Userfriendly, sequence diversity, high-throughput	SNP analysis (molecular markers of antimalarial drug resistance)	Targeted amplicon sequencing	Targeted amplicon sequencing on an Illumina miseq platform, however, we have our own barcoding system that exceeds the possibilities in Iluminas own barcoding. 	Quality control, trimming, assembling, alignment to reference, SNP analysis, statistical analysis	Online servers for the processing of data Access to the tools Easy to use tools		Health & Disease	Genomics -> Clean and annotated variants
B	Collected use case	Staphylococcus aureus Intensive server for Research In Omics data	On-going	Yes (10.1186/s12859-021-04401-3)	Officila Laboratory food analysis, genomic bacterial characterizatio, foodbourne outbreak resolution	Gene identification, SNP analysis, genome annotation	Single organism genomics	Illumina	Quality control, assembly, genome annotation, enterotoxins gene detection, cgMLST	Galaxy allows users with no specific bioinformatics skills or dedicated hardware to conduct computational intensive data analysis on bacterial genomes. Moreover, the possibility to share workflows with users, automating the analysis of raw sequencing data from the initial quality control of the sequences to the assembly and annotation of the genomes, and finally to perform phylogenetic inference in the event of microbial outbreaks. 		Health & Disease	Genomics -> Annotated gene cataloge
C	Collected use case	Investigation of the Defective Growth Pattern and Multidrug Resistance in a Clinical Isolate of Candida glabrata Using Whole-Genome Sequencing and Computational Biology Applications	Completed	Yes (10.1128/spectrum.00776-22)	Microbiology, Antifungal drug resistance, Candida glabrata, Mycology	Pathogen, Antimicrobial drug resistance, variant analysis, variant annotation, genome assembly, single pathogen genomics	Single organism genomics	Illumina Nextseq 550	Quality control (FASTQC) and trimming (Trimmomatic)Alignment (Bowtie2)Variant calling (Lofreq suite)Variant annotation (SnpEff)Genome assembly (Spades)Genome annotation (Funannotate)	access to computational power vital for microbial organisms with larger genomes  access to databases tool availability easy-to-use GUI reproducibility community Being able to continue your daily tasks while your data has been processed Being able to close the browser and return when your analysis is done Being able to check the process and run tools with a smartphone browser Being able to access your data and results at any time, anywhere Knowing your data is secure Being able to share history with colleagues and partners 		Health & Disease	Genomics -> Annotated gene cataloge, and Clean and annotated variants 
D	Collected use case	Free living amoeba as vectors for transmission of emerging pathogens and antibiotic resistance genes in biological wastewater treatment plants 	Completed	Submitted	Wastewater, Metagenomics, ARB, ARG, Free living amoeba 	Microbiome community, Gene identification, AMR and pathogens	Shotgun metagenomics	Illumina	Quality control, taxonomy profiling and functional gene abundance	Easy to use, computational power, tool availability, workflow access, technical support and  help during analysis		Health & Disease	Metagenomics -> Community profile visualisations, and Functional tables
E	Collected use case	Metaproteomic Analysis of Nasopharyngeal Swab Samples to Identify Microbial Peptides in COVID-19 Patients.	Completed	Yes (10.1021/acs.jproteome.3c00040)	parallel reaction monitoring, COVID-19 pandemic, metaproteomics	Pathogen, Co-infection	Metaproteomics; Mass Spectrometry; Proteomics	LC-MS/MS	Protein Sequences Database Generation for Microbial Peptide Detection and VerificationDiscovery Workflow; Microbial Peptide Verification Workflow Using PepQuery; Taxonomic and Functional Analysis; Quantitative and Statistical Analysis of Microbial Proteins.	Computational power; Shareability of workflows and histories; Encourages collaborations; Accessibility to tools; Reproducibility.		Health & Disease	Metaproteomics -> Taxonomy tables, and Functional tables -> Differential features
F	Collected use case	In vivo genotypic evolution of Klebsiella pneumoniae Sequence Type 512 under ceftazidime-avibactam, meropenem-vaborbactam and cefiderocol treatment	Completed	Yes (10.3201/eid2911.230921)	inhibitor-resistant KPC, colistin resistance, carbapenemase co-production, outer membrane porin disruption, siderophore disruption	AMR, Klebsiella pneumoniae, phylogenomics	Genomics	Illumina, Nanopore	Assembly, phylogenomics, protein structure prediction	access to computational power, reproducibility and bulk processing using collections		Health & Disease	Genomics -> Compared genes 
G	Collected use case	Heli Project: The intestinal microbiome as the centrepiece of the human body’s reaction to colonization and infection with Helicobacter pylori	On-going		Human health; Helicobacter; meta-transcriptome; immune defence; metabolism; machine learning	Microbiome community, Gene identification, Functional analysis, SNP analysis, Machine learning	Metagenomics, metatranscriptomics, amplicon, transcriptomics, metabolomics	Illumina, MS	Quality control, Taxonomy/community profiling, Functional profiling, SNP and variant calling, Machine learning//Representation learning	easy-to-use workflows, bulk processing using collections, computational power, reproducibility, adaptability		Health & Disease	Genomics -> Virulence Identification, and Clean and annotated variants Transcriptomics -> Differential expressed genes Metagenomics -> Community profile visualisations, and Differential featues Metatranscriptomics -> Differential features
H	Collected use case	PathoGFAIR: a collection of FAIR and adaptable (meta)genomics workflows for (foodborne) pathogens detection and tracking	Completed	Accepted in GigaScience	Quality controlling, Contamination/Host removal, Taxonomy profiling, Assembly, Pathogens detection, AMR identification, VF gene identification, MLST, SNP analysis, FAIR Galaxy workflows, GTN material, visualization, reports, automation	Foodborne pathogens, microbiome community, Gene identification, SNP analysis, AMR, Virulence Factor, 	Metagenomics	Nanopore	5 separate workflows: (1) Quality control and Contamination/Host Removal; (2) Taxonomy Profiling; (3) Assembly, Virulence Factor and AMR Genes identification; (4) SNP and Variant calling; (5) Statistical analysis and Visualisation	Within the project we needed to create easy to use, findable, adaptable, reusable and accessible workflows. With Galaxy, we found all the tools we needed to create these workflows. We also found the flexibility to add or update any tool we need, same for databases. Galaxy also has the power to return the results along with the visualisations and reports all in one place (history). So users of our Galaxy created workflows, will not only be able to run the workflows easily and get the results directly, but also can adapt the workflows to any other type of sequencing technique or any other analysis and that is because Galaxy allows users to easily do that. Furthermore, using Galaxy bot, the whole process of analysing and tracking pathogens within samples can be automated, to run and return results directly after a new sample is uploaded. Galaxy’s bulk processing and computational power allows users to run the workflows with collections of huge datasets.		Health & Disease	Genomics -> Virulence Identification, Antibiotic Resistance Genes, and Clean and annotated variants Metagenomics -> Antibiotic Resistance Genes, and Reconstructed annotated comples & unknown genomes
I	Collected use case	SARS-CoV-2 detection in wastewater	On-going									Health & Disease	Metatranscriptomics -> Community profile visualisations, and Differential features
J	Collected use case	Feature selection with vector-symbolic architectures: a case study on microbial profiles of shotgun metagenomic samples of colorectal cancer	Completed	Yes (10.1101/2024.11.18.624180)	Metagenomics, machine learning, feature selection, colorectal cancer, microbial biomarkers, hyperdimensional computing, vector-symbolic architecturesq	Microbial biomarkers	Metagenomics	Illumina	Taxonomic profiling, statistical analysis, samples classification, feature selection	Access to computational power; reproducibility		Health & Disease	Metagenomics -> Community profile visualisations, Differential features, and Numerous functional elements
