,year,title
0,2025,Indirect impact of quorum sensing on corrosion of graphene-coated copper via sulfate-reducing bacteria biofilm enhancement
1,2025,Cadmium immobilization in river sediments using nano-chlorapatite modified biochars: Effects on prokaryotic communities.
2,2025,Probing Field Cancerization in the Gastrointestinal Tract Using a Hybrid Raman and Partial Wave Spectroscopy Microscope
3,2025,"Plasmid and chromosomal sequences of Pantoea agglomerans isolated from air in Fort Collins, Colorado"
4,2025,A Terminology for Scientific Workflow Systems
5,2025,A glycine at position 105 leads to clavulanic acid and avibactam resistance in class A β-lactamases.
6,2025,Microbial metabolisms determine soil priming effect induced by organic inputs
7,2025,Studies on the Japanese soil-borne wheat mosaic virus movement protein highlight its ability to bind plant RNA
8,2025,A Collaborative Framework for Cross-Domain Scientific Experiments for Society 5.0
9,2025,Ecological Responses of Microbially Activated Water Flooding in Ultra-Low-Permeability Reservoirs: A Case Study of the B9 Reservoir in the Triassic Yanchang Formation
10,2025,"Complete genome sequence of Planococcus koreensis isolated from soil in Fort Collins, Colorado"
11,2025,"An open framework for archival, reproducible, and transparent science"
12,2025,A Phenotype-Driven Multi-Omic Atlas of Glioblastoma Invasion
13,2025,Integrated Experiment and Simulation Co-Design: A Key Infrastructure for Predictive Mesoscale Materials Modeling
14,2025,In-Depth Genome-Based Analysis of Shigella spp. and Escherichia spp.: Resolving Ambiguities and Unveiling Phylogenetic Relationships.
15,2025,"Voltage-gated ion channels in cultured gill epithelia of rainbow trout, Oncorhynchus mykiss, change in transcript abundance with exposure to freshwater."
16,2025,A whole-genome study suggests a taxonomic rearrangement of Saccharopolyspora subtropica as a later heterotypic synonym of Saccharopolyspora thermophila and Saccharopolyspora spinosporotrichia as a later heterotypic synonym of Saccharopolyspora erythraea.
17,2025,Validation studies and multiomics analysis of Zhx2 as a candidate quantitative trait gene underlying brain oxycodone metabolite (oxymorphone) levels and behavior.
18,2025,Addressing persistent challenges in digital image analysis of cancer tissue: resources developed from a hackathon
19,2025,Taxonomic refinement of Bacillus thuringiensis
20,2025,Reclassification of Actinomadura catellatispora Lu et al. 2003 as a later synonym of Actinomadura livida Lavrova and Preobrazhenskaya 1975 (Approved List 1980) based on whole-genome analysis.
21,2025,Implementation of an adaptive laboratory evolution strategy for improved production of valuable microbial secondary metabolites.
22,2025,Technical considerations and review of urinary microRNAs as biomarkers for chronic kidney disease in dogs and cats.
23,2025,Galaxy as a gateway to bioinformatics: Multi-Interface Galaxy Hands-on Training Suite (MIGHTS) for scRNA-seq
24,2024,"Differential effect of acute versus persistent insect-specific flavivirus infection on superinfection exclusion of West Nile, Zika and chikungunya viruses in RNAi-competent and -deficient mosquito cells"
25,2024,Characterising reproducibility debt in scientific software: A systematic literature review
26,2024,OpenMS WebApps: Building User-Friendly Solutions for MS Analysis
27,2024,Parsl+CWL: Towards Combining the Python and CWL Ecosystems
28,2024,"Exome Profiling Suggests Combined Effect of Myeloperoxidase, Toll-Like Receptors, and Metallopeptidase in Hidradenitis Suppurativa"
29,2024,"Introduction of a single-nucleotide variant, rs16851030, into the ADORA1 gene increased cellular susceptibility to hypoxia."
30,2024,Transcriptomic profiling of unmethylated full mutation carriers implicates TET3 in FMR1 CGG repeat expansion methylation dynamics in fragile X syndrome
31,2024,Phylogenomic analyses of the Listeriaceae family support species reclassification and proposal of a new family and new genera.
32,2024,Design and implementation of a metagenomic analytical pipeline for respiratory pathogen detection
33,2024,Comprehensive Analysis of Breast Cancer Cell Lines: Genome-wide Insights from ChIP-seq Analysis
34,2024,Molecular basis of global promoter sensing and nucleosome capture by the SWR1 chromatin remodeler
35,2024,Where's the Data? Finding and Reusing Datasets in Computing Education
36,2024,Phylogenomic Analysis Supports the Reclassification of Caldicoprobacter faecalis (Winter et al. 1988) Bouanane-Darenfed et al. (2015) as a Later Heterotypic Synonym of Caldicoprobacter oshimai Yokoyama et al. (2010).
37,2024,CuttleFlow: Infrastructure-Specific Workflow Adaption for Improved Reusability
38,2024,Cell cycle-dependent mRNA localization in P-bodies
39,2024,The AAV2.7m8 capsid packages a higher degree of heterogeneous vector genomes than AAV2.
40,2024,Artificial Intelligence-Driven Prediction Revealed CFTR Associated with Therapy Outcome of Breast Cancer: A Feasibility Study
41,2024,BioPipeline Creator—a user-friendly Java-based GUI for managing and customizing biological data pipelines
42,2024,How Do Users Design Scientific Workflows? The Case of Snakemake and Nextflow
43,2024,Schistosoma haematobium and Schistosoma bovis first generation hybrids undergo gene expressions changes consistent with species compatibility and heterosis
44,2024,A benchmark suite and performance analysis of user-space provenance collectors
