,year,title,abstract,Targeted organisms,Technical target,Methods,Topics
0,2025,Ecological Responses of Microbially Activated Water Flooding in Ultra-Low-Permeability Reservoirs: A Case Study of the B9 Reservoir in the Triassic Yanchang Formation,"The impact of anthropogenic disturbances during reservoir development on the ecological system—encompassing both environmental and microbial components—has long been overlooked. This study pioneers the investigation into the effects of microbially activated water flooding on both reservoir environments and indigenous microbial communities. We conducted a comprehensive analysis of the B9 Reservoir’s parameters before and after field testing, including the pH, redox potential, conductivity, chemical oxygen demand, biochemical oxygen demand, aqueous-phase cell concentration, aqueous-phase deoxyribonucleic acid (DNA) concentration, oil-phase DNA concentration, and microbial population data. The results demonstrate that environmental parameters exhibit high sensitivity to microbially activated water flooding and effectively explain microbial blooms, while microbial blooms reciprocally alter the environmental conditions, forming a mutually influencing dynamic interplay. The 183-day microbially activated water flooding, while causing detectable impacts on the reservoir environment and microorganisms, did not pose a threat to its ecological stability and contributed to enhanced oil production. In contrast, the 60-month pilot test concluded 27 months earlier exhibited potential destabilization risks to the reservoir ecology. By simultaneously monitoring reservoir environments and microbial dynamics, this research not only addresses potential ecological risks associated with human-driven reservoir development but also provides actionable insights to optimize reservoir management strategies.",Microbiome,Community (taxonomy) profiling,,Ecosystem Dynamics & Biodiversity
1,2025,Implementation of an adaptive laboratory evolution strategy for improved production of valuable microbial secondary metabolites.,,,,Metabolomics,
2,2024,Microbial education plays a crucial role in harnessing the beneficial properties of microbiota for infectious disease protection in Crassostrea gigas,"Background Recently, the frequency and severity of marine diseases have increased in association with global changes, and molluscs of economic interest are particularly concerned. Among them, the Pacific oyster (Crassostrea gigas) production faces challenges from several diseases such as the Pacific Oyster Mortality Syndrome (POMS) or vibriosis. Various strategies such as genetic selection or immune priming have been developed to fight some of these infectious diseases. The microbial education, which consist of exposing the host immune system to beneficial microorganisms during early life stages is a promising approach against diseases. This study explores the concept of microbial education using controlled and pathogen-free bacterial communities and assesses its protective effects against POMS and Vibrio aestuarianus infections, highlighting potential applications in oyster production. Results We demonstrate that it is possible to educate the oyster immune system by adding microorganisms during the larval stage. Adding culture based bacterial mixes to larvae protects only against the POMS disease while adding whole microbial communities from oyster donors protects against both POMS and vibriosis. The efficiency of the immune protection depends both on oyster origin and on the composition of the bacterial mixes used for exposure. No preferential protection was observed when the oysters were stimulated with their sympatric strains. We further show that the added bacteria were not maintained in the oyster microbiota after the exposure, but this bacterial addition induced long term changes in the microbiota composition and oyster immune gene expression. Conclusion Our study reveals successful immune system education of oysters by introducing beneficial micro-organisms during the larval stage. We improved the long-term resistance of oysters against critical diseases (POMS disease and Vibrio aestuarianus infections) highlighting the potential of microbial education in aquaculture.","Bacteria, Microbiome, Pathogen","Community (taxonomy) profiling, AMR",,"Ecosystem Dynamics & Biodiversity, Health & Disease"
3,2023,Next-Generation Sequencing for the Detection of Microbial Agents in Avian Clinical Samples,"Simple Summary Significant progress in next-generation sequencing (NGS) is positioning this technology as a key tool to be utilized in clinical diagnosis of disease agents and/or for veterinary surveillance. Recent advances in direct sequencing of poultry and other avian samples for the detection of microbial agents are reviewed here. This review, although not comprehensive, highlights key developments in avian NGS-based technology for diagnostic uses during the last five years and discusses the future challenges for practical implementation, as well as potential applications in new areas related to poultry production. Abstract Direct-targeted next-generation sequencing (tNGS), with its undoubtedly superior diagnostic capacity over real-time PCR (RT-PCR), and direct-non-targeted NGS (ntNGS), with its higher capacity to identify and characterize multiple agents, are both likely to become diagnostic methods of choice in the future. tNGS is a rapid and sensitive method for precise characterization of suspected agents. ntNGS, also known as agnostic diagnosis, does not require a hypothesis and has been used to identify unsuspected infections in clinical samples. Implemented in the form of multiplexed total DNA metagenomics or as total RNA sequencing, the approach produces comprehensive and actionable reports that allow semi-quantitative identification of most of the agents present in respiratory, cloacal, and tissue samples. The diagnostic benefits of the use of direct tNGS and ntNGS are high specificity, compatibility with different types of clinical samples (fresh, frozen, FTA cards, and paraffin-embedded), production of nearly complete infection profiles (viruses, bacteria, fungus, and parasites), production of “semi-quantitative” information, direct agent genotyping, and infectious agent mutational information. The achievements of NGS in terms of diagnosing poultry problems are described here, along with future applications. Multiplexing, development of standard operating procedures, robotics, sequencing kits, automated bioinformatics, cloud computing, and artificial intelligence (AI) are disciplines converging toward the use of this technology for active surveillance in poultry farms. Other advances in human and veterinary NGS sequencing are likely to be adaptable to avian species in the future.","Bacteria, Virus",,"(Meta)genomics, Metagenomics",Health & Disease
4,2023,Population structure and genetic diversity of Streptococcus suis isolates obtained from the United States,"Diseases caused by the zoonotic pathogen Streptococcus suis are an extensive economic problem as well as an animal welfare concern for the global swine industry. Previous studies have evaluated the genomic diversity and population structure of S. suis isolates, however, the majority of these studies utilized isolates obtained from countries other than the U.S. This study applied whole genome sequencing and cgMLST-based typing to evaluate the population structure and genetic relatedness among S. suis isolates obtained within the U.S. The established high-resolution phylogenomic framework revealed extensive genomic variation and diversity among the sampled S. suis isolates, with isolates from the U.S. and from countries outside the U.S. found interspersed in the phylogeny. S. suis isolates obtained within the U.S. did not cluster by state or geographic location, however, isolates with similar serotypes, both obtained from within and outside the U.S., generally clustered together. Average nucleotide identity (ANI) values determined for the S. suis genomes were extensively broad, approaching the recommended species demarcation value, and correlated with the phylogenetic group distribution of the cgMLST-based tree. Numerous antimicrobial resistance (AMR) elements were identified among both U.S. and non-U.S. isolates with ble, tetO, and ermB genes identified as the most prevalent. The epf, mrp, and sly genes, historically used as markers for virulence potential, were also observed in the genomes of isolates that grouped together forming a subclade of clonal complex 1 (CC1) isolates. Collectively, the data in this report provides critical information needed to address potential biosurveillance needs and insights into the genetic diversity and population structure of S. suis isolates obtained within the U.S.",Pathogen,"Isolate, Community (taxonomy) profiling, AMR, (M)LST",(Meta)genomics,"Ecosystem Dynamics & Biodiversity, Health & Disease"
5,2023,Comparative Microbiome Analysis of Three Epidemiologically Important Tick Species in Latvia,"(1) Background: Amplicon-based 16S rRNA profiling is widely used to study whole communities of prokaryotes in many niches. Here, we comparatively examined the microbial composition of three tick species, Ixodes ricinus, Ixodes persulcatus and Dermacentor reticulatus, which were field-collected in Latvia. (2) Methods: Tick DNA samples were used for microbiome analysis targeting bacterial 16S rDNA using next-generation sequencing (NGS). (3) Results: The results showed significant differences in microbial species diversity and composition by tick species and life stage. A close similarity between microbiomes of I. ricinus and I. persulcatus ticks was observed, while the D. reticulatus microbiome composition appeared to be more distinct. Significant differences in alpha and beta microbial diversity were observed between Ixodes tick life stages and sexes, with lower taxa richness indexes obtained for female ticks. The Francisella genus was closely associated with D. reticulatus ticks, while endosymbionts Candidatus Midichlorii and Candidatus Lariskella were associated with I. ricinus and I. persulcatus females, respectively. In I. ricinus females, the endosymbiont load negatively correlated with the presence of the Rickettsia genus. (4) Conclusions: The results of this study revealed important associations between ticks and their microbial community and highlighted the microbiome features of three tick species in Latvia.","Bacteria, Microbiome","Community (taxonomy) profiling, Comparative analysis",Metabarcoding,"Ecosystem Dynamics & Biodiversity, Health & Disease"
6,2023,Gut microbial signatures and their functions in Behcet's uveitis and Vogt-Koyanagi-Harada disease.,,,Functional analysis,,Health & Disease
7,2023,Effect of Anthropogenic Disturbances on the Microbial Relationship during Bioremediation of Heavy Metal-Contaminated Sediment,"Soil, sediment, and waters contaminated with heavy metals pose a serious threat to ecosystem function and human health, and microorganisms are an effective way to address this problem. In this work, sediments containing heavy metals (Cu, Pb, Zn, Mn, Cd, As) were treated differently (sterilized and unsterilized) and bio-enhanced leaching experiments were carried out with the addition of exogenous iron-oxidizing bacteria A. ferrooxidans and sulfur-oxidizing bacteria A. thiooxidans. The leaching of As, Cd, Cu, and Zn was higher in the unsterilized sediment at the beginning 10 days, while heavy metals leached more optimally in the later sterilized sediment. The leaching of Cd from sterilized sediments was favored by A. ferrooxidans compared to A. thiooxidans. Meanwhile, the microbial community structure was analyzed using 16S rRNA gene sequencing, which revealed that 53.4% of the bacteria were Proteobacteria, 26.22% were Bacteroidetes, 5.04% were Firmicutes, 4.67% were Chlamydomonas, and 4.08% were Acidobacteria. DCA analysis indicated that microorganisms abundance (diversity and Chao values) increased with time. Furthermore, network analysis showed that complex networks of interactions existed in the sediments. After adapting to the acidic environmental conditions, the growth of some locally dominant bacteria increased the microbial interactions, allowing more bacteria to participate in the network, making their connections stronger. This evidence points to a disruption in the microbial community structure and its diversity following artificial disturbance, which then develops again over time. These results could contribute to the understanding of the evolution of microbial communities in the ecosystem during the remediation of anthropogenically disturbed heavy metals.","Bacteria, Microbiome","Community (taxonomy) profiling, Functional analysis, Interactome",Metabarcoding,"Ecosystem Dynamics & Biodiversity, Health & Disease"
8,2023,Effect of deposit chemistry on microbial community structure and activity: Implications for under-deposit microbial corrosion,"Introduction The deposition of solid particles carried by production fluids from oil and gas companies in horizontal surfaces of different assets has shown to cause severe localised corrosion. Sand, one of the most common deposits in the energy sector pipelines, is frequently mixed with crude, oil, asphaltenes, corrosion inhibitors, and other organic compounds. For this reason, they might favour the metabolic activity of native microbial communities. This study aimed to determine the impact of sand-deposit chemical composition on the microbial community structure and functional attributes of a multispecies consortium recovered from an oilfield and the resulting risk of under-deposit microbial corrosion of carbon steel. Methods Sand deposits recovered from an oil pipeline were used in their raw form and compared against the same deposits exposed to heat treatment to remove organic compounds. A four-week immersion test in a bioreactor filled with synthetic produced water and a two-centimeter layer of sand was set up to assess corrosion and microbial community changes. Results The raw untreated deposit from the field containing hydrocarbons and treatment chemicals resulted in a more diverse microbial community than its treated counterpart. Moreover, biofilms developed in the raw sand deposit exhibited higher metabolic rates, with functional profile analysis indicating a predominance of genes associated with xenobiotics degradation. Uniform and localized corrosion were more severe in the raw sand deposit compared to the treated sand. Discussion The complex chemical composition of the untreated sand might have represented an additional source of energy and nutrients to the microbial consortium, favoring the development of different microbial genera and species. The higher corrosion rate obtained under the untreated sand suggests that MIC occurred due to syntrophic relationships between sulphate reducers or thiosulphate reducers and fermenters identified in the consortium.",Microbiome,"Community (taxonomy) profiling, Functional analysis",,Ecosystem Dynamics & Biodiversity
9,2022,"Geographical distance, host evolutionary history and diet drive gut microbiome diversity of fish across the Yellow River","Fish represent a large part of the taxonomic diversity of vertebrates and are of high commercial value. However, the factors influencing the gut microbiota composition of freshwater fish over large spatial scales remain unclear. Therefore, this study explored gut microbiome diversity in 24 fish species from the Yellow River, which spans over 1500 km across China. The results showed that geographical distance, host phylogeny and diet significantly influenced gut microbial community diversity, whereas sex, body length and body weight had minimal influence. Geographical distance was the primary factor shaping gut microbiota, and dissimilarity in microbial community structure increased with an increase in geographical distance, which was mainly driven by dispersal limitation. The microbial communities were more homogeneous at higher host taxonomic resolutions due to the dominant role of homogeneous selection in community convergence. Phylosymbiosis was observed across all host species, with a stronger pattern in Cypriniformes, which harbour host‐specific microbial taxa. Host diet explained little variation in gut microbiome diversity, although it was significant for all diversity metrics tested. These findings collectively suggest that the geographical and host‐based patterns of fish gut microbiota tend to be shaped by different ecological forces across the Yellow River. The present work provides a robust assessment of multiple factors driving fish gut microbial community assembly and offers insight into the mechanisms underlying shifts in fish gut microbiota in rivers across large spatial scales.",Microbiome,"Community (taxonomy) profiling, MAGs",,Ecosystem Dynamics & Biodiversity
